GEOID,Geo_QName,Geo_STUSAB,Geo_STATE,Geo_COUNTY,Geo_TRACT,tot_pop,pop_dens,area,pop_male,pop_female,perc_male,perc_female,pop_under5,pop_5to9,pop_10to14,pop_15to17,pop_18to24,pop_25to34,pop_35to44,pop_45to54,pop_55to64,pop_65to74,pop_75to84,pop_85andover,perc_under5,perc_5to9,perc_10to14,perc_15to17,perc_18to24,perc_25to34,perc_35to44,perc_45to54,perc_55to64,perc_65to74,perc_75to84,perc_85andover,pop_white,pop_blackaa,pop_nativeamerican,pop_asian,pop_hawaiipacificislander,pop_race_other,pop_2ormoreraces,perc_white,perc_blackaa,perc_nativeamerican,perc_asian,perc_hawaiipacificislander,perc_race_other,perc_2ormoreraces,pop_nothispanic,pop_hispanic,perc_nothispanic,perc_hispanic,tot_pop_over25,pop25plus_lessthanhs,pop25plus_hsgrad,pop25plus_somecollege,pop25plus_bachelors,pop25plus_masters,pop25plus_profschooldegree,pop25plus_doctorate,perc25plus_lessthanhs,perc25plus_hsgrad,perc25plus_somecollege,perc25plus_bachelors,perc25plus_masters,perc25plus_profschooldegree,perc25plus_doctorate,tot_pop_over3,pop3plus_enrolledinschool,pop3plus_notenrolledinschool,perc3plus_enrolledinschool,perc3plus_notenrolledinschool,median_hhi,mean_hhi,percapita_income,gini,housing_units,housing_units_occupied,housing_units_vacant,perc_housing_units_occupied,perc_housing_units_vacant,occupied_housing_units,heat_type_gas,heat_type_electric,heat_type_fueloil,heat_type_coal,heat_type_solar,heat_type_other,heat_type_nofuel,perc_heat_type_gas,perc_heat_type_electric,perc_heat_type_fueloil,perc_heat_type_coal,perc_heat_type_solar,perc_heat_type_other,perc_heat_type_nofuel,median_gross_rent,tot_workers,workers_cartruckvan,workers_drovealone,workers_carpool,workers_publictransit,workers_motorcycle,workers_bicycle,workers_walked,workers_other,workers_wfh,perc_workers_cartruckvan,perc_workers_drovealone,perc_workers_carpool,perc_workers_publictransit,perc_workers_motorcycle,perc_workers_bicycle,perc_workers_walked,perc_workers_other,perc_workers_wfh,avg_commute,no_vehicle,1_vehicle,2_vehicle,3_vehicle,4_vehicle,5ormore_vehicle,perc_no_vehicle,perc_1_vehicle,perc_2_vehicle,perc_3_vehicle,perc_4_vehicle,perc_5ormore_vehicle
53001950100,"Census Tract 9501, Adams County, Washington",wa,53,001,950100,2456,3.944901,622.5758081,1242,1214,50.57,49.43,82,192,225,80,136,335,192,179,521,325,133,56,3.34,7.82,9.16,3.26,5.54,13.64,7.82,7.29,21.21,13.23,5.42,2.28,2193,33,10,28,4,16,172,89.29,1.34,0.41,1.14,0.16,0.65,7,2255,201,91.82,8.18,1741,112,460,767,279,89,4,30,6.43,26.42,44.06,16.03,5.11,0.23,1.72,2422,565,1857,23.33,76.67,65625,78946.85315,34499,0.4015,1154,1001,153,86.74,13.26,1001,470,432,15,36,0,16,32,46.95,43.16,1.5,3.6,0,1.6,3.2,858,1013,836,715,121,0,0,0,72,26,79,82.53,70.58,11.94,0,0,0,7.11,2.57,7.8,20,59,217,448,191,56,30,5.89,21.68,44.76,19.08,5.59,3
53001950200,"Census Tract 9502, Adams County, Washington",wa,53,001,950200,1935,2.333721,829.1481072,1035,900,53.49,46.51,111,70,176,87,271,131,323,188,268,219,52,39,5.74,3.62,9.1,4.5,14.01,6.77,16.69,9.72,13.85,11.32,2.69,2.02,1305,0,41,0,0,474,115,67.44,0,2.12,0,0,24.5,5.94,1374,561,71.01,28.99,1220,251,397,263,208,69,20,12,20.57,32.54,21.56,17.05,5.66,1.64,0.98,1846,484,1362,26.22,73.78,68083,75245.36585,27159,0.3667,814,615,199,75.55,24.45,615,123,393,49,30,0,15,5,20,63.9,7.97,4.88,0,2.44,0.81,822,875,777,683,94,0,0,0,44,12,42,88.8,78.06,10.74,0,0,0,5.03,1.37,4.8,34,22,92,174,184,92,51,3.58,14.96,28.29,29.92,14.96,8.29
53001950301,"Census Tract 9503.01, Adams County, Washington",wa,53,001,950301,1669,10.007,166.7832283,891,778,53.39,46.61,137,254,99,117,86,179,96,125,350,137,61,28,8.21,15.22,5.93,7.01,5.15,10.72,5.75,7.49,20.97,8.21,3.65,1.68,641,0,15,1,0,964,48,38.41,0,0.9,0.06,0,57.76,2.88,525,1144,31.46,68.54,976,375,252,220,63,37,29,0,38.42,25.82,22.54,6.45,3.79,2.97,0,1544,493,1051,31.93,68.07,62801,86650,28420,0.4633,569,544,25,95.61,4.39,544,47,452,12,3,15,0,15,8.64,83.09,2.21,0.55,2.76,0,2.76,NA,524,524,426,98,0,0,0,0,0,0,100,81.3,18.7,0,0,0,0,0,0,20,15,40,212,209,56,12,2.76,7.35,38.97,38.42,10.29,2.21
53001950302,"Census Tract 9503.02, Adams County, Washington",wa,53,001,950302,2720,40.35379,67.40382118,1467,1253,53.93,46.07,157,323,275,225,393,413,247,279,142,199,61,6,5.77,11.88,10.11,8.27,14.45,15.18,9.08,10.26,5.22,7.32,2.24,0.22,503,0,249,0,0,1459,509,18.49,0,9.15,0,0,53.64,18.71,292,2428,10.74,89.26,1347,748,375,142,12,45,9,16,55.53,27.84,10.54,0.89,3.34,0.67,1.19,2687,841,1846,31.3,68.7,52500,61416.30728,15703,0.4157,782,742,40,94.88,5.12,742,29,650,0,53,0,10,0,3.91,87.6,0,7.14,0,1.35,0,865,1202,1100,803,297,0,0,0,32,67,3,91.51,66.81,24.71,0,0,0,2.66,5.57,0.25,19,82,116,206,185,153,0,11.05,15.63,27.76,24.93,20.62,0
53001950303,"Census Tract 9503.03, Adams County, Washington",wa,53,001,950303,2826,61.70905,45.79555118,1337,1489,47.31,52.69,240,255,390,199,252,322,267,345,284,135,137,0,8.49,9.02,13.8,7.04,8.92,11.39,9.45,12.21,10.05,4.78,4.85,0,1446,0,0,0,80,1101,199,51.17,0,0,0,2.83,38.96,7.04,737,2089,26.08,73.92,1490,486,588,228,124,39,25,0,32.62,39.46,15.3,8.32,2.62,1.68,0,2665,961,1704,36.06,63.94,59840,83944.18919,24712,0.4135,753,740,13,98.27,1.73,740,25,696,0,6,0,13,0,3.38,94.05,0,0.81,0,1.76,0,NA,1179,1036,864,172,0,0,0,0,16,127,87.87,73.28,14.59,0,0,0,0,1.36,10.77,27,0,38,303,236,36,127,0,5.14,40.95,31.89,4.86,17.16
53001950400,"Census Tract 9504, Adams County, Washington",wa,53,001,950400,3031,2205.137,1.374517951,1291,1740,42.59,57.41,439,231,441,187,121,340,327,326,259,165,105,90,14.48,7.62,14.55,6.17,3.99,11.22,10.79,10.76,8.55,5.44,3.46,2.97,1585,5,39,68,0,707,627,52.29,0.16,1.29,2.24,0,23.33,20.69,834,2197,27.52,72.48,1612,352,486,477,239,55,3,0,21.84,30.15,29.59,14.83,3.41,0.19,0,2829,975,1854,34.46,65.54,54214,80377.26316,24146,0.4887,984,950,34,96.54,3.46,950,274,653,0,0,9,11,3,28.84,68.74,0,0,0.95,1.16,0.32,961,946,829,699,130,0,0,0,58,0,59,87.63,73.89,13.74,0,0,0,6.13,0,6.24,17,200,206,269,197,56,22,21.05,21.68,28.32,20.74,5.89,2.32
53001950500,"Census Tract 9505, Adams County, Washington",wa,53,001,950500,5920,1237.913,4.782243779,3246,2674,54.83,45.17,655,585,673,254,881,837,815,546,305,303,66,0,11.06,9.88,11.37,4.29,14.88,14.14,13.77,9.22,5.15,5.12,1.11,0,3088,6,87,29,0,1219,1491,52.16,0.1,1.47,0.49,0,20.59,25.19,1287,4633,21.74,78.26,2872,945,969,708,93,143,0,14,32.9,33.74,24.65,3.24,4.98,0,0.49,5386,1814,3572,33.68,66.32,64711,76066.1215,22879,0.4527,1718,1712,6,99.65,0.35,1712,511,1186,0,15,0,0,0,29.85,69.28,0,0.88,0,0,0,998,2311,2091,1690,401,6,0,7,53,38,116,90.48,73.13,17.35,0.26,0,0.3,2.29,1.64,5.02,21,86,309,916,201,72,128,5.02,18.05,53.5,11.74,4.21,7.48
53003960100,"Census Tract 9601, Asotin County, Washington",wa,53,003,960100,4363,8.431379,517.4716547,2232,2131,51.16,48.84,156,265,258,204,239,356,331,532,769,701,406,146,3.58,6.07,5.91,4.68,5.48,8.16,7.59,12.19,17.63,16.07,9.31,3.35,4040,18,0,22,0,72,211,92.6,0.41,0,0.5,0,1.65,4.84,4293,70,98.4,1.6,3241,200,681,1177,692,207,238,46,6.17,21.01,36.32,21.35,6.39,7.34,1.42,4294,917,3377,21.36,78.64,79663,116304.0526,51332,0.4449,2076,1900,176,91.52,8.48,1900,1111,685,6,90,0,0,8,58.47,36.05,0.32,4.74,0,0,0.42,998,1754,1533,1405,128,0,9,0,13,0,199,87.4,80.1,7.3,0,0.51,0,0.74,0,11.35,22,58,428,594,534,239,47,3.05,22.53,31.26,28.11,12.58,2.47
53003960200,"Census Tract 9602, Asotin County, Washington",wa,53,003,960200,4450,39.16155,113.6318717,1830,2620,41.12,58.88,61,142,245,132,321,469,265,590,811,931,255,228,1.37,3.19,5.51,2.97,7.21,10.54,5.96,13.26,18.22,20.92,5.73,5.12,4288,0,0,0,0,0,162,96.36,0,0,0,0,0,3.64,4205,245,94.49,5.51,3549,176,1126,1360,514,335,26,12,4.96,31.73,38.32,14.48,9.44,0.73,0.34,4450,686,3764,15.42,84.58,73906,101035.5027,45535,0.4572,2183,2059,124,94.32,5.68,2059,1037,800,92,117,0,0,13,50.36,38.85,4.47,5.68,0,0,0.63,1081,2193,1758,1596,162,0,0,0,0,0,435,80.16,72.78,7.39,0,0,0,0,0,19.84,15,0,606,777,277,254,145,0,29.43,37.74,13.45,12.34,7.04
53003960300,"Census Tract 9603, Asotin County, Washington",wa,53,003,960300,3320,2212.227,1.500750197,1729,1591,52.08,47.92,211,176,215,143,269,548,546,307,479,312,75,39,6.36,5.3,6.48,4.31,8.1,16.51,16.45,9.25,14.43,9.4,2.26,1.17,3157,0,0,15,0,43,105,95.09,0,0,0.45,0,1.3,3.16,3090,230,93.07,6.93,2306,168,972,847,263,43,6,7,7.29,42.15,36.73,11.41,1.86,0.26,0.3,3236,638,2598,19.72,80.28,55950,71785.89939,29960,0.4617,1520,1312,208,86.32,13.68,1312,636,604,0,41,0,31,0,48.48,46.04,0,3.12,0,2.36,0,814,1482,1371,1261,110,8,0,14,65,13,11,92.51,85.09,7.42,0.54,0,0.94,4.39,0.88,0.74,12,37,507,474,203,57,34,2.82,38.64,36.13,15.47,4.34,2.59
53003960400,"Census Tract 9604, Asotin County, Washington",wa,53,003,960400,2520,4113.302,0.612646468,1332,1188,52.86,47.14,159,173,215,66,213,184,348,291,285,268,274,44,6.31,6.87,8.53,2.62,8.45,7.3,13.81,11.55,11.31,10.63,10.87,1.75,2282,21,0,6,0,5,206,90.56,0.83,0,0.24,0,0.2,8.17,2343,177,92.98,7.02,1694,197,659,630,104,69,21,14,11.63,38.9,37.19,6.14,4.07,1.24,0.83,2466,591,1875,23.97,76.03,48333,62698,25981,0.4273,1032,1000,32,96.9,3.1,1000,494,438,12,56,0,0,0,49.4,43.8,1.2,5.6,0,0,0,975,858,790,683,107,1,0,0,0,7,60,92.07,79.6,12.47,0.12,0,0,0,0.82,6.99,13,70,349,332,226,7,16,7,34.9,33.2,22.6,0.7,1.6
